ee-8961-0242c0a82007'}, {'Name': 'session', 'Value': 'login'}], 'MeasureName': 'duration', 'MeasureValue': '300', 'MeasureValueType': 'BIGINT', 'Time': '1693832400000'}]
2023-09-08 09:56:34,364 [flush2timestream] ERROR write_agentsummarizedevents RejectedRecordsException :: {'Error': {'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'Code': 'RejectedRecordsException'}, 'ResponseMetadata': {'RequestId': 'PSW23GYJPKH6FAEXW45LUS64GE', 'HTTPStatusCode': 419, 'HTTPHeaders': {'x-amzn-requestid': 'PSW23GYJPKH6FAEXW45LUS64GE', 'content-type': 'application/x-amz-json-1.0', 'content-length': '327', 'date': 'Fri, 08 Sep 2023 09:56:34 GMT'}, 'RetryAttempts': 0}, 'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'RejectedRecords': [{'RecordIndex': 0, 'Reason': 'The record timestamp is outside the time range [2023-09-05T09:51:34.359Z, 2023-09-08T10:31:34.359Z) of the memory store.'}]} Record Rejected : [{'Dimensions': [{'Name': 'agent', 'Value': 'Bagent162'}, {'Name': 'state', 'Value': 'ended'}, {'Name': 'uuid', 'Value': 'fe6450e0-4e2d-11ee-8961-0242c0a82007'}, {'Name': 'session', 'Value': 'login'}], 'MeasureName': 'duration', 'MeasureValue': '300', 'MeasureValueType': 'BIGINT', 'Time': '1693836000000'}]
2023-09-08 09:56:34,377 [flush2timestream] ERROR write_agentsummarizedevents RejectedRecordsException :: {'Error': {'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'Code': 'RejectedRecordsException'}, 'ResponseMetadata': {'RequestId': 'CQU34FBIXHILJ3M57LGUPEHI44', 'HTTPStatusCode': 419, 'HTTPHeaders': {'x-amzn-requestid': 'CQU34FBIXHILJ3M57LGUPEHI44', 'content-type': 'application/x-amz-json-1.0', 'content-length': '327', 'date': 'Fri, 08 Sep 2023 09:56:34 GMT'}, 'RetryAttempts': 0}, 'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'RejectedRecords': [{'RecordIndex': 0, 'Reason': 'The record timestamp is outside the time range [2023-09-05T09:51:34.371Z, 2023-09-08T10:31:34.371Z) of the memory store.'}]} Record Rejected : [{'Dimensions': [{'Name': 'agent', 'Value': 'Bagent162'}, {'Name': 'state', 'Value': 'ended'}, {'Name': 'uuid', 'Value': 'fe6620dc-4e2d-11ee-8961-0242c0a82007'}, {'Name': 'session', 'Value': 'login'}], 'MeasureName': 'duration', 'MeasureValue': '300', 'MeasureValueType': 'BIGINT', 'Time': '1693836300000'}]
2023-09-08 09:56:34,390 [flush2timestream] ERROR write_agentsummarizedevents RejectedRecordsException :: {'Error': {'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'Code': 'RejectedRecordsException'}, 'ResponseMetadata': {'RequestId': 'BO23R4JR3NE7B543HE5YNVEKYU', 'HTTPStatusCode': 419, 'HTTPHeaders': {'x-amzn-requestid': 'BO23R4JR3NE7B543HE5YNVEKYU', 'content-type': 'application/x-amz-json-1.0', 'content-length': '327', 'date': 'Fri, 08 Sep 2023 09:56:34 GMT'}, 'RetryAttempts': 0}, 'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'RejectedRecords': [{'RecordIndex': 0, 'Reason': 'The record timestamp is outside the time range [2023-09-05T09:51:34.384Z, 2023-09-08T10:31:34.384Z) of the memory store.'}]} Record Rejected : [{'Dimensions': [{'Name': 'agent', 'Value': 'Bagent162'}, {'Name': 'state', 'Value': 'ended'}, {'Name': 'uuid', 'Value': 'fe680bf4-4e2d-11ee-8961-0242c0a82007'}, {'Name': 'session', 'Value': 'login'}], 'MeasureName': 'duration', 'MeasureValue': '300', 'MeasureValueType': 'BIGINT', 'Time': '1693836600000'}]
2023-09-08 09:56:34,404 [flush2timestream] ERROR write_agentsummarizedevents RejectedRecordsException :: {'Error': {'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'Code': 'RejectedRecordsException'}, 'ResponseMetadata': {'RequestId': 'KSDZEQEZ5M4SYMUQRRIFX4GDVM', 'HTTPStatusCode': 419, 'HTTPHeaders': {'x-amzn-requestid': 'KSDZEQEZ5M4SYMUQRRIFX4GDVM', 'content-type': 'application/x-amz-json-1.0', 'content-length': '327', 'date': 'Fri, 08 Sep 2023 09:56:34 GMT'}, 'RetryAttempts': 0}, 'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'RejectedRecords': [{'RecordIndex': 0, 'Reason': 'The record timestamp is outside the time range [2023-09-05T09:51:34.399Z, 2023-09-08T10:31:34.399Z) of the memory store.'}]} Record Rejected : [{'Dimensions': [{'Name': 'agent', 'Value': 'Bagent162'}, {'Name': 'state', 'Value': 'ended'}, {'Name': 'uuid', 'Value': 'fe6a2c5e-4e2d-11ee-8961-0242c0a82007'}, {'Name': 'session', 'Value': 'login'}], 'MeasureName': 'duration', 'MeasureValue': '300', 'MeasureValueType': 'BIGINT', 'Time': '1693836900000'}]
2023-09-08 09:56:34,418 [flush2timestream] ERROR write_agentsummarizedevents RejectedRecordsException :: {'Error': {'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'Code': 'RejectedRecordsException'}, 'ResponseMetadata': {'RequestId': '5E6MQKHKUGOTOHTEOU7SAHLKBA', 'HTTPStatusCode': 419, 'HTTPHeaders': {'x-amzn-requestid': '5E6MQKHKUGOTOHTEOU7SAHLKBA', 'content-type': 'application/x-amz-json-1.0', 'content-length': '327', 'date': 'Fri, 08 Sep 2023 09:56:34 GMT'}, 'RetryAttempts': 0}, 'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'RejectedRecords': [{'RecordIndex': 0, 'Reason': 'The record timestamp is outside the time range [2023-09-05T09:51:34.413Z, 2023-09-08T10:31:34.413Z) of the memory store.'}]} Record Rejected : [{'Dimensions': [{'Name': 'agent', 'Value': 'Bagent162'}, {'Name': 'state', 'Value': 'ended'}, {'Name': 'uuid', 'Value': 'fe6c4016-4e2d-11ee-8961-0242c0a82007'}, {'Name': 'session', 'Value': 'login'}], 'MeasureName': 'duration', 'MeasureValue': '300', 'MeasureValueType': 'BIGINT', 'Time': '1693837200000'}]
2023-09-08 09:56:34,430 [flush2timestream] ERROR write_agentsummarizedevents RejectedRecordsException :: {'Error': {'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'Code': 'RejectedRecordsException'}, 'ResponseMetadata': {'RequestId': 'OMVB6CO5QXRHT3GUJSMLSDES4I', 'HTTPStatusCode': 419, 'HTTPHeaders': {'x-amzn-requestid': 'OMVB6CO5QXRHT3GUJSMLSDES4I', 'content-type': 'application/x-amz-json-1.0', 'content-length': '327', 'date': 'Fri, 08 Sep 2023 09:56:34 GMT'}, 'RetryAttempts': 0}, 'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'RejectedRecords': [{'RecordIndex': 0, 'Reason': 'The record timestamp is outside the time range [2023-09-05T09:51:34.425Z, 2023-09-08T10:31:34.425Z) of the memory store.'}]} Record Rejected : [{'Dimensions': [{'Name': 'agent', 'Value': 'Bagent162'}, {'Name': 'state', 'Value': 'ended'}, {'Name': 'uuid', 'Value': 'fe6e6b7a-4e2d-11ee-8961-0242c0a82007'}, {'Name': 'session', 'Value': 'login'}], 'MeasureName': 'duration', 'MeasureValue': '300', 'MeasureValueType': 'BIGINT', 'Time': '1693837500000'}]
2023-09-08 09:56:34,443 [flush2timestream] ERROR write_agentsummarizedevents RejectedRecordsException :: {'Error': {'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'Code': 'RejectedRecordsException'}, 'ResponseMetadata': {'RequestId': 'VGB7JQZNJIVYGLTRINFF2LSIQ4', 'HTTPStatusCode': 419, 'HTTPHeaders': {'x-amzn-requestid': 'VGB7JQZNJIVYGLTRINFF2LSIQ4', 'content-type': 'application/x-amz-json-1.0', 'content-length': '327', 'date': 'Fri, 08 Sep 2023 09:56:34 GMT'}, 'RetryAttempts': 0}, 'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'RejectedRecords': [{'RecordIndex': 0, 'Reason': 'The record timestamp is outside the time range [2023-09-05T09:51:34.438Z, 2023-09-08T10:31:34.438Z) of the memory store.'}]} Record Rejected : [{'Dimensions': [{'Name': 'agent', 'Value': 'Bagent162'}, {'Name': 'state', 'Value': 'ended'}, {'Name': 'uuid', 'Value': 'fe705336-4e2d-11ee-8961-0242c0a82007'}, {'Name': 'session', 'Value': 'login'}], 'MeasureName': 'duration', 'MeasureValue': '300', 'MeasureValueType': 'BIGINT', 'Time': '1693837800000'}]
2023-09-08 09:56:34,455 [flush2timestream] ERROR write_agentsummarizedevents RejectedRecordsException :: {'Error': {'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'Code': 'RejectedRecordsException'}, 'ResponseMetadata': {'RequestId': 'LNBW2PXWTJY73TGVPDO44JAUEI', 'HTTPStatusCode': 419, 'HTTPHeaders': {'x-amzn-requestid': 'LNBW2PXWTJY73TGVPDO44JAUEI', 'content-type': 'application/x-amz-json-1.0', 'content-length': '327', 'date': 'Fri, 08 Sep 2023 09:56:34 GMT'}, 'RetryAttempts': 0}, 'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'RejectedRecords': [{'RecordIndex': 0, 'Reason': 'The record timestamp is outside the time range [2023-09-05T09:51:34.450Z, 2023-09-08T10:31:34.450Z) of the memory store.'}]} Record Rejected : [{'Dimensions': [{'Name': 'agent', 'Value': 'Bagent162'}, {'Name': 'state', 'Value': 'ended'}, {'Name': 'uuid', 'Value': 'fe7231c4-4e2d-11ee-8961-0242c0a82007'}, {'Name': 'session', 'Value': 'login'}], 'MeasureName': 'duration', 'MeasureValue': '300', 'MeasureValueType': 'BIGINT', 'Time': '1693838100000'}]
2023-09-08 09:56:34,469 [flush2timestream] ERROR write_agentsummarizedevents RejectedRecordsException :: {'Error': {'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'Code': 'RejectedRecordsException'}, 'ResponseMetadata': {'RequestId': 'UJUGRZWJCNCQ3XMJP4BV5UH2OU', 'HTTPStatusCode': 419, 'HTTPHeaders': {'x-amzn-requestid': 'UJUGRZWJCNCQ3XMJP4BV5UH2OU', 'content-type': 'application/x-amz-json-1.0', 'content-length': '327', 'date': 'Fri, 08 Sep 2023 09:56:34 GMT'}, 'RetryAttempts': 0}, 'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'RejectedRecords': [{'RecordIndex': 0, 'Reason': 'The record timestamp is outside the time range [2023-09-05T09:51:34.464Z, 2023-09-08T10:31:34.464Z) of the memory store.'}]} Record Rejected : [{'Dimensions': [{'Name': 'agent', 'Value': 'Bagent162'}, {'Name': 'state', 'Value': 'ended'}, {'Name': 'uuid', 'Value': 'fe741084-4e2d-11ee-8961-0242c0a82007'}, {'Name': 'session', 'Value': 'login'}], 'MeasureName': 'duration', 'MeasureValue': '300', 'MeasureValueType': 'BIGINT', 'Time': '1693838400000'}]
2023-09-08 09:56:34,481 [flush2timestream] ERROR write_agentsummarizedevents RejectedRecordsException :: {'Error': {'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'Code': 'RejectedRecordsException'}, 'ResponseMetadata': {'RequestId': '6VG6PQGEOADZOZEBIKSFK2AX6Y', 'HTTPStatusCode': 419, 'HTTPHeaders': {'x-amzn-requestid': '6VG6PQGEOADZOZEBIKSFK2AX6Y', 'content-type': 'application/x-amz-json-1.0', 'content-length': '327', 'date': 'Fri, 08 Sep 2023 09:56:34 GMT'}, 'RetryAttempts': 0}, 'Message': 'One or more records have been rejected. See RejectedRecords for details.', 'RejectedRecords': [{'RecordIndex': 0, 'Reason': 'The record timestamp is outside the time range [2023-09-05T09:51:34.476Z, 2023-09-08T10:31:34.476Z) of the memory store.'}]} Record Rejected : [{'Dimensions': [{'Name': 'agent', 'Value': 'Bagent162'}, {'Name': 'state', 'Value': 'ended'}, {'Name': 'uuid', 'Value': 'fe7623ec-4e2d-11ee-8961-0242c0a82007'}, {'Name': 'session', 'Value': 'login'}], 'MeasureName': 'duration', 'MeasureValue': '300', 'MeasureValueType': 'BIGINT', 'Time': '1693838700000'}]
